"Sottogruppo","Variabile","Gruppo_var","N_validi","N_mancanti","Media","DS","Min","Q1","Mediana","Q3","Max","IQR","Asimmetria","Curtosi"
"totale","prior_ric_cause","prior_ric",471,6,7.38,2.264,0,6,8,9,10,3,-0.956,0.835
"totale","prior_ric_diagnosi","prior_ric",469,8,7.9,1.982,0,7,8,10,10,3,-1.158,2.064
"totale","prior_ric_prevenzione","prior_ric",470,7,8.6,1.944,0,8,9,10,10,2,-2.089,5.494
"totale","prior_ric_psicosoc","prior_ric",474,3,8.975,1.61,0,8,10,10,10,2,-2.711,10.246
"totale","prior_ric_farmaci","prior_ric",470,7,7.06,2.302,0,6,7,8,10,2,-0.878,0.822
"totale","prior_ric_prognosi","prior_ric",467,10,7.724,1.907,0,7,8,9,10,2,-1.006,1.808
"totale","prior_ric_accesso","prior_ric",473,4,9.252,1.501,0,9,10,10,10,1,-3.325,14.386
"totale","prior_ric_relazioni","prior_ric",471,6,8.811,1.585,0,8,9,10,10,2,-2.016,6.124
"totale","prior_ric_indipendenza","prior_ric",470,7,8.681,1.689,0,8,9,10,10,2,-1.801,4.614
"totale","prior_aut_sal_ment","prior_aut",101,376,9.03,1.791,0,9,10,10,10,1,-2.74,8.947
"totale","prior_aut_comunicaz","prior_aut",100,377,7.61,2.287,0,6,8,10,10,4,-1.093,1.071
"totale","prior_aut_sociale","prior_aut",100,377,8.543,1.751,2,7.575,9,10,10,2.425,-1.396,1.715
"totale","prior_aut_ansia","prior_aut",100,377,8.54,1.708,1,7.75,9,10,10,2.25,-1.401,2.674
"totale","prior_aut_formaz","prior_aut",100,377,8.9,1.554,1,8,10,10,10,2,-1.993,5.682
"totale","prior_aut_famiglia","prior_aut",100,377,8.68,1.456,5,7,9,10,10,3,-0.656,-0.812
"totale","prior_aut_diagnosi","prior_aut",100,377,8.73,1.632,3,8,9,10,10,2,-1.395,1.455
"totale","prior_aut_lavoro","prior_aut",101,376,8.782,1.792,2,8,10,10,10,2,-1.681,2.375
"totale","prior_aut_sensorialita","prior_aut",99,378,8.667,1.761,2,8,9,10,10,2,-1.546,2.383
"totale","prior_aut_servizi","prior_aut",100,377,9.1,1.259,4,8,10,10,10,2,-1.501,2.22
"totale","prior_salute_mentale","prior_salute",472,5,8.718,1.867,0,8,10,10,10,2,-1.988,4.769
"totale","prior_salute_igiene","prior_salute",463,14,5.855,3.09,0,5,6,8,10,3,-0.476,-0.746
"totale","prior_salute_dentale","prior_salute",463,14,6.579,2.746,0,5,7,9,10,4,-0.708,-0.167
"totale","prior_salute_sessuale","prior_salute",466,11,7.045,2.506,0,6,8,9,10,3,-1.015,0.813
"totale","prior_salute_sonno","prior_salute",464,13,7.312,2.524,0,6,8,9,10,3,-1.021,0.553
"totale","prior_salute_nutrizione","prior_salute",467,10,7.899,2.216,0,7,8,10,10,3,-1.383,2.023
"totale","prior_salute_oncologia","prior_salute",462,15,7.255,2.66,0,5,8,10,10,5,-0.916,0.204
"totale","prior_salute_dolore","prior_salute",462,15,6.649,2.768,0,5,7,9,10,4,-0.724,-0.226
"totale","prior_salute_gastro","prior_salute",466,11,6.906,2.571,0,5,7,9,10,4,-0.817,0.241
"totale","prior_salute_autoimmune","prior_salute",462,15,6.515,2.896,0,5,7,9,10,4,-0.697,-0.349
"totale","prior_salute_dermato","prior_salute",462,15,6.504,2.61,0,5,7,8,10,3,-0.633,-0.209
"totale","prior_salute_endo","prior_salute",462,15,6.649,2.802,0,5,7,9,10,4,-0.735,-0.216
"totale","prior_salute_mobilita","prior_salute",465,12,7.686,2.201,0,7,8,10,10,3,-1.094,1.105
"totale","prior_salute_neuro","prior_salute",460,17,6.365,2.97,0,5,7,9,10,4,-0.616,-0.524
"totale","prior_salute_respir","prior_salute",460,17,5.741,3.064,0,4,6,8,10,4,-0.412,-0.88
"totale","prior_salute_cardio","prior_salute",461,16,6.013,2.947,0,5,6,8,10,3,-0.503,-0.648
"totale","prior_salute_emato","prior_salute",457,20,5.497,3.042,0,4,5,8,10,4,-0.337,-0.849
